Date,Outdoor Temperature,Feels Like,Dew Point,Wind Speed,Wind Gust,Max Daily Gust,Wind Direction,Hourly Rain,Event Rain,Daily Rain,Weekly Rain,Monthly Rain,Total Rain,Relative Pressure,Outdoor Humidity,Ultra-Violet Radiation Index,Solar Radiation,Absolute Pressure
2020-11-22T15:00:00-08:00,41.7,41.7,38.7,0,0,2.2,90,0,0,0,0,5.92,7.77,29.84,89,0,25.1,29.91
2020-11-22T14:55:00-08:00,41.7,41.7,39,0,0,2.2,90,0,0,0,0,5.92,7.77,29.84,90,0,22,29.91
2020-11-22T14:50:00-08:00,41.9,41.9,39.2,0,0,2.2,90,0,0,0,0,5.92,7.77,29.84,90,0,18.6,29.91
2020-11-22T14:45:00-08:00,41.9,41.9,38.9,0,0,2.2,90,0,0,0,0,5.92,7.77,29.84,89,0,23.9,29.91
2020-11-22T14:40:00-08:00,41.9,41.9,39.2,0,0,2.2,90,0,0,0,0,5.92,7.77,29.84,90,0,21.6,29.91
2020-11-22T14:35:00-08:00,41.9,41.9,39.2,0,0,2.2,90,0,0,0,0,5.92,7.77,29.84,90,0,16.9,29.91
2020-11-22T14:30:00-08:00,42.1,42.1,39.4,0,0,2.2,90,0,0,0,0,5.92,7.77,29.85,90,0,16,29.92
2020-11-22T14:25:00-08:00,42.1,42.1,38.8,0,0,2.2,89,0,0,0,0,5.92,7.77,29.85,88,0,14.3,29.92
2020-11-22T14:20:00-08:00,42.1,42.1,39.4,0,0,2.2,89,0,0,0,0,5.92,7.77,29.84,90,0,18.6,29.91
2020-11-22T14:15:00-08:00,42.3,42.3,39.3,0,0,2.2,89,0,0,0,0,5.92,7.77,29.84,89,0,21.2,29.91
2020-11-22T14:10:00-08:00,42.4,42.4,39.1,0,0,2.2,89,0,0,0,0,5.92,7.77,29.84,88,0,19.9,29.91
2020-11-22T14:05:00-08:00,42.4,42.4,39.4,0,0,2.2,89,0,0,0,0,5.92,7.77,29.84,89,0,24.7,29.91
2020-11-22T14:00:00-08:00,42.4,42.4,39.4,0,0,2.2,89,0,0,0,0,5.92,7.77,29.85,89,0,31.2,29.92
2020-11-22T13:55:00-08:00,42.3,42.3,39.3,0,0,2.2,89,0,0,0,0,5.92,7.77,29.85,89,0,32,29.92
2020-11-22T13:50:00-08:00,42.3,42.3,39,0,0,2.2,92,0,0,0,0,5.92,7.77,29.85,88,0,37.2,29.92
